TradingDay,CF,FG,MA,OI,RM,SR,TA,a,ag,au,bu,c,cs,hc,i,j,jd,jm,l,m,p,pp,rb,ru,v,y
20180102,14723.312082643199,2044.2433529338048,3187.2779499090275,5870.018971931644,3622.4357904856156,3951.124672103561,6409.453051286636,4143.605483670218,3174.8125911016955,248.4451475748849,1816.826028018911,1641.2391645326552,2664.609289204572,5075.305433022195,1004.9871776327321,1991.7784146327456,3682.6312352611903,1337.4859787486787,12780.08495264102,6227.348247958697,3739.096470360261,15452.700709251094,2716.4224674336842,7786.68252060619,4861.770517716187,4510.188152366154
20180103,14644.996592841906,2033.057342794632,3172.012164312474,5889.77125357473,3631.935185041085,3956.4848548027007,6381.865735427439,4166.378803173764,3170.744404798387,249.28989664502146,1803.2777354908058,1662.775381016408,2694.5067286346375,4993.8834207277205,991.1189093121333,1992.2727751228504,3640.5221462925074,1351.4806003499355,12805.760663244017,6245.365892075757,3734.88419495242,15447.817310733475,2670.844909255267,7762.24732441182,4854.599764740205,4508.6275336283115
20180104,14693.943773967714,2056.827614340374,3198.1820824779943,5927.480154893348,3614.519628356058,3924.9937814452533,6476.12239794636,4177.765462925537,3160.9807576704475,248.08946375588008,1826.3098327885848,1658.2886692489594,2674.575102347927,5010.6847883440405,1004.9871776327321,2066.4268486385895,3633.8229730474895,1366.4748377798535,12825.017446196263,6238.60927553186,3760.1578473994664,15503.162493933152,2677.856841282716,7664.506539634336,4894.038906108109,4544.5217645986995
20180105,14850.574753570301,2041.4468503990115,3188.368363165924,5950.8237604715405,3630.3519526151736,3931.023986981786,6471.5245119698275,4181.181460851069,3165.0489439737557,248.8452918712654,1827.6646620413953,1662.775381016408,2677.066555633766,4965.450337069333,995.7416654189996,2038.2483007026085,3625.2097503038954,1359.9773348935557,12805.760663244017,6249.870303105022,3764.3701228073073,15477.117701839186,2663.131784025073,7650.931430637464,4897.6242825961,4544.5217645986995
20180108,14855.469471682882,2114.155916303634,3262.516464634899,5907.727873250263,3609.769931078323,3935.7141468435334,6538.193858629552,4199.400116453906,3165.8625812344176,249.15651521289462,1822.2453450301532,1637.6497951186966,2635.957576417426,4993.8834207277205,1027.1764069456904,2065.9324881484845,3557.2609931044294,1389.9658097533916,12786.50388029177,6231.852658987962,3726.459644136738,15511.301491462516,2677.155648079971,7642.78636523934,4897.6242825961,4491.460727512039
20180109,14923.995525259013,2107.164659966651,3249.431505552139,5916.706183088028,3635.101649892908,3929.013918469608,6542.791744606085,4185.736124751777,3169.930767537726,249.46773855452386,1837.1484668110688,1638.5471374721863,2642.186209632023,4991.298594940595,1036.421919159423,2048.629870994812,3560.132067352294,1383.9681147814244,12747.990314387276,6252.122508619654,3767.1783064125348,15462.467506286332,2677.856841282716,7642.78636523934,4872.5266471801615,4521.112483531055
20180110,14928.890243371596,2108.5629112340475,3246.1602657814487,5913.114859152922,3620.8525580597043,3937.724215355711,6517.503371735155,4208.509444255324,3151.217110542508,248.9342128260166,1868.3095396257108,1641.2391645326552,2645.9233895607813,5014.56202702473,1030.8746118311833,2002.159984924949,3561.0890921015825,1356.4786794932415,12863.531012100755,6234.104864502595,3741.9046539654883,15607.341662309016,2698.892637365062,7621.0661908443435,4847.429011764222,4524.233721006741
20180111,14963.15327015966,2086.1908909557023,3243.9794392676554,5898.749563412496,3593.9376068192078,3934.3741011687484,6526.69914368822,4169.794801099296,3160.9807576704475,249.7345014187775,1862.890222614469,1634.0604257047378,2630.9746698457484,5006.807549663352,1028.1009581670635,2006.6092293358934,3562.0461168508705,1376.4709960664654,12946.977071560492,6202.57398729774,3740.5005621628748,15678.964840567422,2691.179512134868,7694.371779427456,4833.087505812257,4514.870008579683
20180112,15124.67896787483,2091.7838960252884,3218.8999343590317,5846.675366353451,3555.9400285973306,3927.673872794823,6483.019226911159,4149.298813546104,3165.0489439737557,250.356948102036,1864.2450518672795,1639.444479825676,2648.41484284662,4951.233795240139,1005.9117288541054,1988.317891202011,3562.0461168508705,1344.9830974636377,13030.423131020227,6146.268849431929,3694.1655326766227,15755.471417343446,2657.522238403114,7762.24732441182,4894.038906108109,4477.415158871452
20180115,14958.25855204708,2072.2083782817363,3202.543735505581,5828.718746677919,3593.9376068192078,3896.182799437376,6524.4002006999535,4182.3201268262455,3194.3398853575745,250.80155287579205,1902.180270945974,1637.6497951186966,2662.1178359187334,4958.988272601518,992.0434605335065,1961.622424736345,3547.690745611547,1326.4902046334057,12985.490637464985,6209.330603841638,3691.3573490713957,15731.054424755353,2665.9365568360527,7843.6979783930565,4883.282776644135,4478.975777609295
