TradingDay,CF,FG,MA,OI,RM,SR,TA,a,ag,au,bu,c,cs,hc,i,j,jd,jm,l,m,p,pp,rb,ru,v,y
20180102,,,,,,,,,,,,,,,,,,,,,,,,,,
20180103,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
20180104,0.0,0.0,0.0,3841.463414634147,-1918.0470793373786,-6367.485182049126,0.0,546.597430992054,-0.0,-0.0,0.0,-0.0,-7397.133610725958,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
20180105,4263.82411725516,-0.0,-0.0,0.0,0.0,0.0,-0.0,654.12919051512,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,672.14339058997,-335.9932801343991,-0.0,-0.0,732.6007326007141,0.0
20180108,65.91957811469466,0.0,0.0,-2896.801448400672,-0.0,0.0,0.0,0.0,0.0,1000.5360014292579,-0.0,-15110.631408526584,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-1729.7297297297484,-0.0,0.0,0.0,-0.0,0.0,-0.0
20180109,0.0,-1984.1269841270198,-4010.695187165741,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-103.51966873704355,0.0,-0.0,0.0,-3451.995685005366,-0.0,0.0,0.0,-1259.3136740476155,0.0,0.0,-0.0,0.0
20180110,131.19055428012982,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,13569.3215339233,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-2881.844380403344,-4025.344763324647,0.0,0.0,-0.0,-0.0,138.07386952019817
20180111,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-3679.653679653612,0.0,0.0,-2320.522117476351,-0.0,-0.0,-0.0,-0.0,0.0,268.74496103189296,0.0,1297.4051896207784,-0.0,-0.0,2753.4418022527957,-0.0,0.0,-0.0,-0.0
20180112,4317.958783120741,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1029.6010296010543,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-22875.816993464116,3867.1294000991315,-0.0,-0.0,975.9136212624549,-0.0,0.0,0.0,-0.0
20180115,-6601.9417475728505,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-875.7525998904838,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-1549.746874677101,0.0,2098.635886673665,-879.1208791208569,0.0
20180116,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-8809.020436927356,-0.0,-1935.8125318389884,-0.0,-11965.811965811952,-0.0,-280.7674309780622,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3046.036690896512,-0.0,-0.0
20180117,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-2414.344044026096,0.0,-1317.2338090010821,-5898.87640449432,0.0,0.0,-0.0,0.0,0.0,-0.0,5809.731299927442,-0.0,-0.0,1952.5065963060806,-0.0,-0.0,-0.0
20180118,0.0,0.0,-637.619553666307,0.0,-0.0,-0.0,1072.961373390568,0.0,-0.0,-4415.954415954534,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-216.60649819495183,0.0,0.0,3344.6563888162573,0.0,0.0,0.0
20180119,-8701.256848211413,-0.0,-0.0,-12372.409526755324,0.0,-0.0,0.0,-3828.016643550628,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2893.6170212766347,0.0,-5647.72326156013,0.0,-0.0
20180122,0.0,-0.0,0.0,0.0,3487.3583260680066,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-2549.06958959982,-0.0,0.0,-0.0,-0.0,1520.5271160668867,1726.6187050359028,0.0,-253.4854245880993,0.0,0.0,0.0,0.0
20180123,1932.9896907216346,0.0,0.0,0.0,260.64291920070775,-0.0,1058.5744530698757,0.0,0.0,0.0,-4022.988505747154,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,3033.367037411494,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
20180124,-0.0,-0.0,-0.0,588.2352941176614,-0.0,0.0,0.0,-339.65468440418545,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-752.634219769184,-0.0,0.0,-419.4191045402023,0.0,-0.0,1488.0952380952383,0.0
20180125,0.0,0.0,0.0,-123.11480455525074,0.0,0.0,139.03371567603895,426.01533655211136,0.0,0.0,0.0,-0.0,-0.0,863.1632394008684,0.0,0.0,-728.1553398058311,2327.385570209464,0.0,0.0,-0.0,484.36348320521637,0.0,-0.0,1026.392961876844,-0.0
20180126,0.0,-0.0,-0.0,0.0,-734.3412526997907,-0.0,-451.2322110378245,-0.0,-0.0,-638.8642413487163,-68.58710562414313,0.0,0.0,-276.86886483764545,-0.0,-1090.3804216137694,-135.8326541700569,-1364.6702047005372,0.0,-0.0,0.0,1110.7618149428931,-0.0,0.0,2188.1838074398065,0.0
20180129,-0.0,0.0,0.0,-92.05277692543947,1827.6762402088789,-0.0,0.0,0.0,-0.0,-446.50830505447124,480.43925875086126,-0.0,0.0,0.0,-0.0,-416.4625183733493,-0.0,-0.0,-449.55044955045315,0.0,0.0,-666.944560233434,0.0,0.0,-1587.3015873015838,310.55900621116086
20180130,-0.0,-200.40080160319704,-0.0,-1412.7764127764158,256.4102564102689,-0.0,-0.0,0.0,-0.0,-0.0,-2322.404371584693,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-1254.3903662819876,-142.45014245015116,-0.0,-784.1907151819261,-0.0,-0.0,-436.36363636362535,-2958.3763329893004
20180131,-0.0,-2141.900937081646,-0.0,0.0,170.721297481861,0.0,0.0,-0.0,0.0,0.0,276.4340013821719,-223.2142857142878,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,392.29671897290194,0.0,0.0,-153.02218821729244,-0.0,0.0,1047.4860335195287
20180201,-0.0,-2029.769959404615,-0.0,-0.0,-298.50746268657355,-0.0,-1152.6370939573842,-0.0,-52.19206680584384,-0.0,-759.1442374051122,1901.5659955257095,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,817.3690932311672,-0.0,-2612.481857764884,-1076.7627648488933
20180202,0.0,1640.464798359536,0.0,-0.0,-0.0,-0.0,141.3427561837469,-0.0,-156.65796344648476,126.78862524902745,0.0,-110.80332409971702,-0.0,1535.7502517623393,1382.0335636722623,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,1526.329178326102,0.0,149.0312965722764,-0.0
20180205,-0.0,-134.49899125755925,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-868.3068017366061,-0.0,665.188470066525,0.0,-123.97718819736936,2531.6455696202493,3838.630806845964,0.0,2816.3725122042842,0.0,0.0,0.0,0.0,302.95379954557114,0.0,2083.3333333333567,-0.0
20180206,-0.0,-538.3580080753885,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-110.13215859033033,0.0,-0.0,-2089.2687559354167,-376.73651989637466,0.0,-1460.9203798392982,-0.0,-0.0,0.0,-884.2105263157882,-604.9911772120028,-0.0,-1325.4786450662777,-0.0
20180207,0.0,404.8582995951446,-0.0,0.0,0.0,-380.4911795226582,-0.0,0.0,-0.0,-1340.5797101449239,0.0,1101.9283746556719,0.0,0.0,2111.32437619961,3397.027600849224,-0.0,1324.5033112583012,-0.0,0.0,0.0,-1168.2242990654177,-304.3367993912954,0.0,667.1608598962213,0.0
20180208,-0.0,-2956.98924731182,-0.0,0.0,0.0,486.1111111111217,-0.0,0.0,-0.0,-220.34520749174976,-0.0,109.58904109588448,-0.0,0.0,-474.83380816714134,-788.6801206216285,0.0,-292.3976608187166,-0.0,0.0,0.0,-0.0,-355.6007112014246,-0.0,-1030.9278350515576,142.04545454543884
20180209,-0.0,-2046.3847203274363,-0.0,-0.0,-0.0,-0.0,-497.3357015985837,0.0,0.0,0.0,-0.0,-109.52902519168376,-0.0,-1713.434318351119,-190.83969465648377,-1932.9296693060144,0.0,-0.0,-0.0,-0.0,-194.93177387914,-0.0,-1781.1704834605707,0.0,-1184.307920059223,-354.6099290780061
20180212,0.0,-620.2618883528534,-0.0,0.0,1970.8654670094277,0.0,-107.10460549803742,0.0,0.0,-54.93499359092644,-0.0,-0.0,-0.0,378.9792824658848,-191.0219675262842,0.0,0.0,0.0,-0.0,1428.061406640487,2812.499999999982,-378.8698852565525,590.5006418485275,0.0,-1116.9024571853965,0.0
20180213,-0.0,0.0,-0.0,-31.746031746032518,-756.302521008392,-0.0,0.0,-0.0,596.2059620596166,494.6866984243306,-0.0,-0.0,-0.0,0.0,2294.455066921619,0.0,0.0,0.0,-0.0,140.79549454419745,-693.3744221879833,10.866021949368946,0.0,-0.0,-0.0,0.0
20180214,0.0,0.0,73.61059992638876,-1841.8545570022034,759.1733445803344,-501.0366275051932,0.0,196.57399606852178,161.6379310344776,0.0,-0.0,0.0,0.0,-0.0,1984.877126654061,0.0,-0.0,0.0,0.0,984.8751319029087,-657.1318129107021,0.0,0.0,0.0,-0.0,-0.0
